Process Name	Seconds(ms)	CPU(%)	Memory(MB)
GeneticCars	682000	0.2525491	296.25
GeneticCars	683000	0.757781	296.25
GeneticCars	684000	0.8847154	296.25
GeneticCars	685000	1.264078	296.25
GeneticCars	686000	0.7589001	296.25
GeneticCars	687000	2.14762	296.33
GeneticCars	688000	0	296.33
GeneticCars	689000	0.8825523	296.42
GeneticCars	690000	1.389447	296.42
GeneticCars	691000	1.511692	296.42
GeneticCars	692000	1.263637	296.42
GeneticCars	693000	0.505172	296.42
GeneticCars	694000	0.8851686	296.42
GeneticCars	695000	1.137487	296.42
GeneticCars	696000	0.3791622	296.42
GeneticCars	697000	0.6314693	296.07
GeneticCars	698000	0.2522715	296.07
GeneticCars	699000	1.387115	296.07
GeneticCars	700000	0.7583252	296.07
GeneticCars	701000	2.148587	296.07
GeneticCars	702000	1.518123	296.07
GeneticCars	703000	1.010119	296.07
GeneticCars	704000	0.7583246	296.07
GeneticCars	705000	1.895812	296.07
GeneticCars	706000	1.899498	296.07
GeneticCars	707000	1.641443	296.07
GeneticCars	708000	1.392967	296.07
GeneticCars	709000	0.2527749	296.07
GeneticCars	710000	1.90039	296.07
GeneticCars	711000	0.7590613	296.08
GeneticCars	712000	0.6325508	296.08
GeneticCars	713000	0.5055242	296.08
GeneticCars	714000	1.76764	296.08
GeneticCars	715000	1.011238	296.25
